Source,Target
Mark Wahlberg,The Departed
Mark Wahlberg,Patriots Day
Mark Wahlberg,The Italian Job
Mark Wahlberg,Four Brothers
Mark Wahlberg,2 Guns
Mark Wahlberg,The Perfect Storm
Mark Wahlberg,The Yards
Mark Wahlberg,Ted 2
Mark Wahlberg,Rock Star
Mark Wahlberg,The Gambler
Mark Wahlberg,Daddy's Home 2
Anna Friel,Limitless
Angels & Demons,Tom Hanks
Angels & Demons,Ewan McGregor
Angels & Demons,Ayelet Zurer
Angels & Demons,Stellan Skarsgård
Oscar Isaac,Inside Llewyn Davis
Oscar Isaac,Triple Frontier
Oscar Isaac,The Addams Family
Oscar Isaac,The Addams Family 2
Criminal,John C. Reilly
Criminal,Diego Luna
Criminal,Maggie Gyllenhaal
Criminal,Peter Mullan
Criminal,Kevin Costner
Criminal,Ryan Reynolds
Criminal,Gal Gadot
Criminal,Gary Oldman
Sandra Oh,Hard Candy
Sandra Oh,Under the Tuscan Sun
Tyler Perry,Madea's Witness Protection
Jay O. Sanders,The Big Green
The Giver,Brenton Thwaites
The Giver,Jeff Bridges
The Giver,Meryl Streep
The Giver,Taylor Swift
Sylvia Kuumba Williams,Obsession
Ruth Livier,Drag Me to Hell
The Color of Money,Paul Newman
The Color of Money,Tom Cruise
The Color of Money,Mary Elizabeth Mastrantonio
The Color of Money,Helen Shaver
Lisa Andoh,The Scarlet Letter
Elizabeth Mitchell,Frequency
Rob Riggle,Let's Be Cops
Rob Riggle,The War with Grandpa
Jimmy Bennett,The Amityville Horror
Jack McBrayer,Smurfs: The Lost Village
Jack McBrayer,Cooties
Rocco Papaleo,Pinocchio
Ian Michael Smith,Simon Birch
Cornelia Otis Skinner,The Uninvited
Mean Streets,Robert De Niro
Mean Streets,Harvey Keitel
Mean Streets,David Proval
Mean Streets,Amy Robinson
Mike Myers,Shrek
Mike Myers,54
Frank Grillo,Wheelman
Mirrors,Kiefer Sutherland
Mirrors,Paula Patton
Mirrors,Amy Smart
Mirrors,Cameron Boyce
U Turn,Sean Penn
U Turn,Jennifer Lopez
U Turn,Nick Nolte
U Turn,Billy Bob Thornton
Melissa Leo,Conviction
Melissa Leo,Red State
Crispin Glover,Freaky Deaky
Crispin Glover,The Bag Man
North Country,Charlize Theron
North Country,Jeremy Renner
North Country,Frances McDormand
North Country,Thomas Curtis
Troy,Brad Pitt
Troy,Eric Bana
Troy,Orlando Bloom
Troy,Julian Glover
The River Wild,Meryl Streep
The River Wild,Kevin Bacon
The River Wild,David Strathairn
The River Wild,Joseph Mazzello
Martin Balsam,The Sentinel
Finn Wolfhard,The Addams Family
An American Crime,Elliot Page
An American Crime,Hayley McFarland
An American Crime,Nick Searcy
An American Crime,Romy Rosemont
Rebecca De Mornay,Risky Business
Rebecca De Mornay,Mother's Day
Eve Hewson,This Must Be the Place
Ellen Barkin,This Boy's Life
Ellen Barkin,Sea of Love
Ellen Barkin,Drop Dead Gorgeous
Ellen Barkin,The Big Easy
Ellen Barkin,The Adventures of Buckaroo Banzai Across the 8th Dimension
Ellen Barkin,Johnny Handsome
Ellen Barkin,The Fan
Ellen Barkin,The Out-Laws
The Last Station,Helen Mirren
The Last Station,James McAvoy
The Last Station,Christopher Plummer
The Last Station,Paul Giamatti
Drop Dead Gorgeous,Kirsten Dunst
Drop Dead Gorgeous,Denise Richards
Drop Dead Gorgeous,Allison Janney
Frank Vincent,Raging Bull
Charlize Theron,Mad Max: Fury Road
Charlize Theron,Kubo and the Two Strings
Charlize Theron,The Devil's Advocate
Charlize Theron,The Cider House Rules
Charlize Theron,Monster
Charlize Theron,The Road
Charlize Theron,Men of Honor
Charlize Theron,In the Valley of Elah
Charlize Theron,Prometheus
Charlize Theron,The Italian Job
Charlize Theron,That Thing You Do!
Charlize Theron,Tully
Charlize Theron,The Life and Death of Peter Sellers
Charlize Theron,Bombshell
Charlize Theron,Long Shot
Charlize Theron,The Burning Plain
Charlize Theron,The Old Guard
Charlize Theron,Atomic Blonde
Charlize Theron,Sweet November
Charlize Theron,The Legend of Bagger Vance
Charlize Theron,2 Days in the Valley
Charlize Theron,Head in the Clouds
Charlize Theron,Hancock
Charlize Theron,The Yards
Charlize Theron,Young Adult
Charlize Theron,Dark Places
Charlize Theron,Astro Boy
Charlize Theron,Snow White and the Huntsman
Charlize Theron,The Huntsman: Winter's War
Charlize Theron,A Million Ways to Die in the West
Charlize Theron,Trapped
Charlize Theron,Gringo
Charlize Theron,The Addams Family
Charlize Theron,Reindeer Games
Charlize Theron,Mighty Joe Young
Charlize Theron,Æon Flux
Charlize Theron,The Addams Family 2
Charlize Theron,The Astronaut's Wife
King Ralph,John Goodman
King Ralph,Peter O'Toole
King Ralph,John Hurt
King Ralph,Camille Coduri
Vincent Cassel,Trance
Vincent Cassel,Derailed
Vincent Cassel,A Dangerous Method
Yuriy Kuznetsov,The Island
Dark Phoenix,James McAvoy
Dark Phoenix,Michael Fassbender
Dark Phoenix,Jennifer Lawrence
Dark Phoenix,Nicholas Hoult
Buried,Ryan Reynolds
Buried,José Luis García-Pérez
Buried,Robert Paterson
Buried,Stephen Tobolowsky
Lily Rabe,All Good Things
Machete,Danny Trejo
Machete,Michelle Rodriguez
Machete,Robert De Niro
Machete,Jessica Alba
Andrew Scott,Victor Frankenstein
Sin City,Mickey Rourke
Sin City,Clive Owen
Sin City,Bruce Willis
Sin City,Jessica Alba
Dirty Grandpa,Robert De Niro
Dirty Grandpa,Zac Efron
Dirty Grandpa,Zoey Deutch
Dirty Grandpa,Aubrey Plaza
Last Vegas,Robert De Niro
Last Vegas,Michael Douglas
Last Vegas,Morgan Freeman
Last Vegas,Kevin Kline
Brad Johnson,Always
As Good as It Gets,Jack Nicholson
As Good as It Gets,Helen Hunt
As Good as It Gets,Greg Kinnear
As Good as It Gets,Cuba Gooding Jr.
The Last Detail,Jack Nicholson
The Last Detail,Randy Quaid
The Last Detail,Otis Young
The Last Detail,Clifton James
Djebril Zonga,Les Misérables
Andrew McCarthy,St. Elmo's Fire
David Carradine,The Long Riders
Hugh Dancy,Late Night
Pandorum,Dennis Quaid
Pandorum,Ben Foster
Pandorum,Cam Gigandet
Pandorum,Antje Traue
Emilio Echevarría,The Alamo
Massimo Ceccherini,Pinocchio
Finn Carter,Tremors
Far from the Madding Crowd,Carey Mulligan
Far from the Madding Crowd,Matthias Schoenaerts
Far from the Madding Crowd,Michael Sheen
Far from the Madding Crowd,Tom Sturridge
Sanaa Lathan,Brown Sugar
James Keane,Crazy Heart
Gregory Smith,Small Soldiers
The House of the Spirits,Jeremy Irons
The House of the Spirits,Meryl Streep
The House of the Spirits,Maria Conchita Alonso
The House of the Spirits,António Assunção
Richard Chamberlain,The Three Musketeers
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Emily Blunt
Edge of Tomorrow,Bill Paxton
Edge of Tomorrow,Brendan Gleeson
Gary Sinise,Forrest Gump
Gary Sinise,Apollo 13
Gary Sinise,Of Mice and Men
Gary Sinise,Ransom
Gary Sinise,I Still Believe
Gary Sinise,The Human Stain
Gary Sinise,Snake Eyes
Gary Sinise,Open Season
Gary Sinise,Impostor
Gary Sinise,Reindeer Games
Gary Sinise,Mission to Mars
Gary Sinise,The Big Bounce
James Freedson-Jackson,Cop Car
Catch Me If You Can,Leonardo DiCaprio
Catch Me If You Can,Tom Hanks
Catch Me If You Can,Christopher Walken
Catch Me If You Can,Martin Sheen
Cast Away,Tom Hanks
Cast Away,Helen Hunt
Cast Away,Paul Sanchez
Cast Away,Lari White
Mona Lisa Smile,Julia Roberts
Mona Lisa Smile,Kirsten Dunst
Mona Lisa Smile,Julia Stiles
Mona Lisa Smile,Maggie Gyllenhaal
Carrie-Anne Moss,Unthinkable
Carrie-Anne Moss,Fireflies in the Garden
Florencia Lozano,Veronika Decides to Die
Foolproof,Ryan Reynolds
Foolproof,Kristin Booth
Foolproof,Joris Jarsky
Foolproof,Sean Sullivan
Benjamin Evan Ainsworth,Pinocchio
Micaela Ramazzotti,Like Crazy
Abraham Benrubi,Open Range
Imogen Poots,Filth
Imogen Poots,She's Funny That Way
Joy Bryant,About Last Night
Showtime,Robert De Niro
Showtime,Eddie Murphy
Showtime,Rene Russo
Showtime,Rachael Harris
Robin Williams,Awakenings
Robin Williams,The Fisher King
Robin Williams,The Birdcage
Robin Williams,The World According to Garp
Robin Williams,Bicentennial Man
Robin Williams,Hook
Robin Williams,FernGully: The Last Rainforest
Robin Williams,Jack
Robin Williams,Cadillac Man
Robin Williams,Old Dogs
Shraddha Kapoor,Stree
Steve Carell,The Big Short
Steve Carell,Vice
Steve Carell,Freeheld
Steve Carell,Hope Springs
Shawn Hatosy,The Cooler
Mystic Pizza,Annabeth Gish
Mystic Pizza,Julia Roberts
Mystic Pizza,Lili Taylor
Mystic Pizza,Vincent D'Onofrio
Mel Gibson,The Professor and the Madman
Mel Gibson,Conspiracy Theory
Mel Gibson,Ransom
Mel Gibson,Blood Father
Mel Gibson,Daddy's Home 2
Greg Kinnear,You've Got Mail
Greg Kinnear,Crisis
Alison Lohman,Matchstick Men
Alison Lohman,White Oleander
Alison Lohman,Things We Lost in the Fire
Alison Lohman,Drag Me to Hell
Alison Lohman,Where the Truth Lies
Will Young,Mrs. Henderson Presents
The Wife,Glenn Close
The Wife,Jonathan Pryce
The Wife,Max Irons
The Wife,Christian Slater
Leslie Bibb,Meeting Evil
No Country for Old Men,Tommy Lee Jones
No Country for Old Men,Javier Bardem
No Country for Old Men,Josh Brolin
No Country for Old Men,Woody Harrelson
Jeffrey Donovan,Sicario: Day of the Soldado
The Ladykillers,Alec Guinness
The Ladykillers,Peter Sellers
The Ladykillers,Cecil Parker
The Ladykillers,Herbert Lom
The Ladykillers,Tom Hanks
The Ladykillers,Marlon Wayans
The Ladykillers,Irma P. Hall
The Ladykillers,J.K. Simmons
Sid and Nancy,Gary Oldman
Sid and Nancy,Chloe Webb
Sid and Nancy,David Hayman
Sid and Nancy,Debby Bishop
2 Guns,Denzel Washington
2 Guns,Paula Patton
2 Guns,Bill Paxton
Mohd. Zeeshan Ayyub,Shahid
Mohd. Zeeshan Ayyub,Chhalaang
Rosencrantz & Guildenstern Are Dead,Gary Oldman
Rosencrantz & Guildenstern Are Dead,Tim Roth
Rosencrantz & Guildenstern Are Dead,Richard Dreyfuss
Rosencrantz & Guildenstern Are Dead,Livio Badurina
Taylor Russell,Words on Bathroom Walls
Starship Troopers,Casper Van Dien
Starship Troopers,Denise Richards
Starship Troopers,Dina Meyer
Starship Troopers,Jake Busey
The East,Brit Marling
The East,Alexander Skarsgård
The East,Elliot Page
The East,Toby Kebbell
Wheelman,Caitlin Carmichael
Wheelman,Garret Dillahunt
Wheelman,Shea Whigham
The Wild,Kiefer Sutherland
The Wild,Jim Belushi
The Wild,Eddie Izzard
The Wild,Janeane Garofalo
Nanny McPhee,Emma Thompson
Nanny McPhee,Colin Firth
Nanny McPhee,Angela Lansbury
