id,category,year,rating,genre,certification,movies,degree
Mark Wahlberg,actor,,,,,11,2
Anna Friel,actor,,,,,1,2
Angels & Demons,movie,2009,6.7,"Action, Mystery, Thriller",PG-13,,3
Oscar Isaac,actor,,,,,4,2
Criminal,movie,2016,6.3,"Action, Sci-Fi, Thriller",R,,3
Sandra Oh,actor,,,,,2,2
Tyler Perry,actor,,,,,1,2
Jay O. Sanders,actor,,,,,1,2
The Giver,movie,2014,6.4,"Drama, Romance, Sci-Fi",PG-13,,3
Sylvia Kuumba Williams,actor,,,,,1,2
Ruth Livier,actor,,,,,1,2
The Color of Money,movie,1986,7.0,"Drama, Sport",R,,3
Lisa Andoh,actor,,,,,1,2
Elizabeth Mitchell,actor,,,,,1,2
Rob Riggle,actor,,,,,2,2
Jimmy Bennett,actor,,,,,1,2
Jack McBrayer,actor,,,,,2,2
Rocco Papaleo,actor,,,,,1,2
Ian Michael Smith,actor,,,,,1,2
Cornelia Otis Skinner,actor,,,,,1,2
Mean Streets,movie,1973,7.2,"Crime, Drama, Thriller",R,,3
Mike Myers,actor,,,,,2,2
Frank Grillo,actor,,,,,1,2
Mirrors,movie,2008,6.1,"Horror, Mystery",R,,3
U Turn,movie,1997,6.7,"Crime, Drama, Thriller",R,,3
Melissa Leo,actor,,,,,2,2
Crispin Glover,actor,,,,,2,2
North Country,movie,2005,7.3,Drama,R,,3
Troy,movie,2004,7.3,Drama,R,,3
The River Wild,movie,1994,6.5,"Adventure, Crime, Thriller",PG-13,,1
Martin Balsam,actor,,,,,1,2
Finn Wolfhard,actor,,,,,1,2
An American Crime,movie,2007,7.2,"Biography, Crime, Drama",R,,3
Rebecca De Mornay,actor,,,,,2,2
Eve Hewson,actor,,,,,1,2
Ellen Barkin,actor,,,,,8,2
The Last Station,movie,2009,6.9,"Biography, Drama, Romance",R,,3
Drop Dead Gorgeous,movie,1999,6.7,"Comedy, Romance, Thriller",PG-13,,3
Frank Vincent,actor,,,,,1,2
Charlize Theron,actor,,,,,39,1
King Ralph,movie,1991,5.4,"Comedy, Romance",PG,,3
Vincent Cassel,actor,,,,,3,2
Yuriy Kuznetsov,actor,,,,,1,2
Dark Phoenix,movie,2019,5.7,"Action, Adventure, Sci-Fi",PG-13,,3
Buried,movie,2010,7.0,"Drama, Mystery, Thriller",R,,3
Lily Rabe,actor,,,,,1,2
Machete,movie,2010,6.6,"Action, Crime, Thriller",R,,3
Andrew Scott,actor,,,,,1,2
Sin City,movie,2005,8.0,"Crime, Thriller",R,,3
Dirty Grandpa,movie,2016,5.9,Comedy,R,,3
Last Vegas,movie,2013,6.6,"Comedy, Drama",PG-13,,3
Brad Johnson,actor,,,,,1,2
As Good as It Gets,movie,1997,7.7,"Comedy, Drama, Romance",PG-13,,3
The Last Detail,movie,1973,7.5,"Comedy, Drama",R,,3
Djebril Zonga,actor,,,,,1,2
Andrew McCarthy,actor,,,,,1,2
David Carradine,actor,,,,,1,2
Hugh Dancy,actor,,,,,1,2
Pandorum,movie,2009,6.7,"Action, Horror, Mystery",R,,3
Emilio Echevarría,actor,,,,,1,2
Massimo Ceccherini,actor,,,,,1,2
Finn Carter,actor,,,,,1,1
Far from the Madding Crowd,movie,2015,7.1,"Drama, Romance",PG-13,,3
Sanaa Lathan,actor,,,,,1,2
James Keane,actor,,,,,1,2
Gregory Smith,actor,,,,,1,2
The House of the Spirits,movie,1993,6.9,"Drama, Romance",R,,3
Richard Chamberlain,actor,,,,,1,2
Edge of Tomorrow,movie,2014,7.9,"Action, Adventure, Sci-Fi",PG-13,,3
Gary Sinise,actor,,,,,12,1
James Freedson-Jackson,actor,,,,,1,1
